Country,,Children per Women,Fertility,Population,,Year
Sierra Leone,,6.56,0,10.3,,1995
Singapore,,1.66,0,6.49,,1995
Slovak Republic,,1.53,30.1,8.47,,1995
Slovenia,,1.25,11,7.14,,1995
Solomon Islands,,5.08,0,11.5,,1995
Somalia,,7.68,0,9.79,,1995
South Africa,,3.04,0,10.3,,1995
South Korea,,1.58,0,8.34,,1995
South Sudan,,6.5,,10.2,,1995
Spain,,1.2,7.13,7.49,,1995
Sri Lanka,,2.27,0,9.93,,1995
St. Helena,,,0,,,1995
St. Kitts and Nevis,,,66.8,,,1995
St. Lucia,,2.77,69.5,9.5,,1995
St. Vincent and the Grenadines,,2.64,80.4,10.8,,1995
Sudan,,5.76,0,10.8,,1995
Suriname,,3,0,8.67,,1995
Sweden,,1.6,0,5.47,,1995
Switzerland,,1.5,5.63,5.36,,1995
Syria,,4.41,0,11.9,,1995
Taiwan,,1.76,17,9.42,,1995
Tajikistan,,4.46,0,10.2,,1995
Tanzania,,5.83,0,10.8,,1995
Thailand,,1.82,0,9.43,,1995
Timor-Leste,,6.63,0,8.11,,1995
Togo,,5.67,0,11.3,,1995
Tokelau,,,0,,,1995
Tonga,,4.39,0,10.7,,1995
Trinidad and Tobago,,1.9,0,9.84,,1995
Tunisia,,2.49,0,10.5,,1995
Turkey,,2.71,61.6,10.2,,1995
Turkmenistan,,3.32,0,10.1,,1995
Turks and Caicos Islands,,,0,,,1995
Tuvalu,,,18.5,,,1995
Uganda,,6.99,0,10.6,,1995
Ukraine,,1.34,51.8,6.83,,1995
United Arab Emirates,,3.23,0,9.55,,1995
United Kingdom,,1.74,29.7,5.64,,1995
United States,,1.98,53.9,6.61,,1995
Uruguay,,2.36,0,8,,1995
Uzbekistan,,3.36,56,10,,1995
Vanuatu,,4.68,0,10.5,,1995
Venezuela,,3.02,0,10.2,,1995
Vietnam,,2.53,0,9.93,,1995
Virgin Islands (U.S.),,2.37,0,7.24,,1995
Wallis et Futuna,,,18.3,,,1995
Western Sahara,,3.57,,10.6,,1995
Yemen,,7.25,0,10.2,,1995
Zambia,,6.15,0,11.3,,1995
Zimbabwe,,4.33,0,12.3,,1995
Afghanistan,,7.64,212,10.4,,1996
Albania,,2.42,21.6,9.15,,1996
Algeria,,2.99,11.8,11.8,,1996
American Samoa,,,55.7,,,1996
Andorra,,,0,,,1996
Angola,,6.79,215,10.7,,1996
Anguilla,,,49.7,,,1996
Antigua and Barbuda,,2.28,66,8.36,,1996
Argentina,,2.66,66.8,8.97,,1996
Armenia,,1.7,51.6,8.39,,1996
Aruba,,1.98,49.6,6.11,,1996
Australia,,1.79,19.8,6.67,,1996
Austria,,1.39,15.1,5.45,,1996
Azerbaijan,,2.33,41,8.75,,1996
Bahamas,,2.36,61.9,8.8,,1996
Bahrain,,2.93,17.9,9.08,,1996
Bangladesh,,3.47,131,11.2,,1996
Barbados,,1.74,56.2,7.05,,1996
Belarus,,1.34,34.3,7.02,,1996
Belgium,,1.61,9.96,5.65,,1996
Belize,,3.91,106,11.1,,1996
Benin,,6.2,123,10.2,,1996
Bermuda,,,48.1,,,1996
Bhutan,,4.2,75,11,,1996
Bolivia,,4.37,86.9,10.2,,1996
Bosnia and Herzegovina,,1.66,27,7.11,,1996
Botswana,,3.72,73.3,11.7,,1996
Brazil,,2.46,89.7,10.1,,1996
British Virgin Islands,,,46.7,,,1996
Brunei,,2.63,28.8,9.47,,1996
Bulgaria,,1.23,44.2,6.81,,1996
Burkina Faso,,6.75,136,10.7,,1996
Burundi,,7.18,40.1,10.7,,1996
Cambodia,,4.33,53.3,9.12,,1996
Cameroon,,5.8,143,10.8,,1996
Canada,,1.58,20.1,6.53,,1996
Cape Verde,,4.22,106,10.3,,1996
Cayman Islands,,,0,,,1996
Central African Republic,,5.56,134,10.4,,1996
Chad,,7.42,193,10.3,,1996
Channel Islands,,1.41,13.8,5.28,,1996
Chile,,2.23,66.9,8.4,,1996
China,,1.53,9.8,7.65,,1996
Colombia,,2.54,91.7,9.84,,1996
Comoros,,5.27,66.5,10.7,,1996
"Congo, Dem. Rep.",,7.11,242,10.2,,1996
"Congo, Rep.",,5.12,130,11.1,,1996
Cook Is,,,0,,,1996
Costa Rica,,2.65,86.9,9.4,,1996
Cote d'Ivoire,,5.92,136,11,,1996
Croatia,,1.51,17.8,6.47,,1996
Cuba,,1.63,67.9,6.45,,1996
Curaçao,,,,6.45,,1996
Cyprus,,1.95,13.1,7.74,,1996
Czech Republic,,1.22,16.6,7.56,,1996
Denmark,,1.75,8.4,5.53,,1996
Djibouti,,4.96,31.1,10.9,,1996
Dominica,,,0,,,1996
Dominican Republic,,3.01,111,10.5,,1996
Ecuador,,3.23,85.4,10.2,,1996
Egypt,,3.46,58.8,10.4,,1996
El Salvador,,3.38,112,10,,1996
Equatorial Guinea,,5.94,134,10.1,,1996
Eritrea,,5.67,98.7,11.2,,1996
Estonia,,1.34,31.6,6.46,,1996
Eswatini,,4.52,109,11.9,,1996
Ethiopia,,6.86,112,10.5,,1996
Faeroe Islands,,,18.9,,,1996
Falkland Is (Malvinas),,,0,,,1996
Fiji,,3.21,45.8,10.7,,1996
Finland,,1.75,9,6.17,,1996
France,,1.75,7.06,6.13,,1996
French Guiana,,3.96,0,8.61,,1996
French Polynesia,,2.66,61.3,9.17,,1996
Gabon,,4.81,130,10,,1996
Gambia,,6,131,9.85,,1996
Georgia,,1.75,60.5,7.53,,1996
Germany,,1.33,13.1,5.13,,1996
Ghana,,5.04,90.1,10.6,,1996
Gibraltar,,,20.9,,,1996
Greece,,1.35,12,7.02,,1996
Greenland,,2.69,97.4,,,1996
Grenada,,2.87,61.5,9.2,,1996
Guadeloupe,,2.08,0,7.75,,1996
Guam,,2.87,78.2,8.07,,1996
Guatemala,,4.9,121,11.2,,1996
Guinea,,6.27,174,10,,1996
Guinea-Bissau,,6.11,147,10.7,,1996
Guyana,,3.06,73.9,10.4,,1996
Haiti,,4.67,61.8,11,,1996
Honduras,,4.41,115,11.1,,1996
"Hong Kong, China",,1.08,5,6.63,,1996
Hungary,,1.43,26.2,7.18,,1996
Iceland,,2.07,24.5,7.67,,1996
India,,3.51,116,10.1,,1996
Indonesia,,2.58,47.9,10.6,,1996
Iran,,2.73,48.4,12.5,,1996
Iraq,,5.22,57.1,11.2,,1996
Ireland,,1.92,17.8,9.23,,1996
Israel,,2.92,17.7,8.77,,1996
Italy,,1.23,5.52,5.53,,1996
Jamaica,,2.7,93.5,9.55,,1996
Japan,,1.37,4.3,6.12,,1996
Jordan,,4.35,40.6,11.3,,1996
Kazakhstan,,2.05,40,8.63,,1996
Kenya,,5.35,106,11.7,,1996
Kiribati,,4.24,0,9.68,,1996
Kuwait,,2.86,26.9,8.57,,1996
Kyrgyz Republic,,3.02,37.6,9.75,,1996
Lao,,4.94,55.5,10.4,,1996
Latvia,,1.22,21.9,6.22,,1996
Lebanon,,2.47,32,9.69,,1996
Lesotho,,4.39,94,11.9,,1996
Liberia,,6.06,152,10.7,,1996
Libya,,3.27,4.68,12.1,,1996
Liechtenstein,,,2,,,1996
Lithuania,,1.5,33.9,6.52,,1996
Luxembourg,,1.72,9.14,5.29,,1996
"Macao, China",,1.12,6.07,6.88,,1996
Madagascar,,5.84,155,10.6,,1996
Malawi,,6.31,161,10.2,,1996
Malaysia,,3.15,15,9.85,,1996
Maldives,,3.67,46.6,11.3,,1996
Mali,,6.98,191,10.8,,1996
Malta,,1.89,17.6,7.32,,1996
Marshall Islands,,,0,,,1996
Martinique,,1.9,0,7.37,,1996
Mauritania,,5.64,96.5,10.8,,1996
Mauritius,,2.07,36.3,9.07,,1996
Mayotte,,5.02,0,11.4,,1996
Mexico,,2.88,77.8,10.6,,1996
"Micronesia, Fed. Sts.",,4.54,44.8,11.7,,1996
Moldova,,1.72,58.1,8.39,,1996
Mongolia,,2.43,32.8,10.8,,1996
Montenegro,,1.93,23.4,7.54,,1996
Montserrat,,,53.4,,,1996
Morocco,,3.04,27.1,10.9,,1996
Mozambique,,5.88,117,10.4,,1996
Myanmar,,2.97,23.7,10.8,,1996
Namibia,,4.35,90.4,11,,1996
Nauru,,,93.6,,,1996
Nepal,,4.47,129,10.4,,1996
Netherlands,,1.56,6.17,5.64,,1996
Netherlands Antilles,,2.15,0,,,1996
New Caledonia,,2.62,16.3,8.74,,1996
New Zealand,,2.05,32.8,6.8,,1996
Nicaragua,,3.47,133,11.5,,1996
Niger,,7.71,221,10.3,,1996
Nigeria,,6.19,135,10.8,,1996
Niue,,,0,,,1996
North Korea,,2.04,1.36,7.15,,1996
North Macedonia,,1.86,33.4,8.15,,1996
Northern Mariana Islands,,,66.7,,,1996
Norway,,1.86,12.7,5.75,,1996
Oman,,4.63,43.2,12.2,,1996
Pakistan,,5.05,60,10.3,,1996
Palau,,,62.1,,,1996
Palestine,,5.91,96.5,10.5,,1996
Panama,,2.81,93.2,9.93,,1996
Papua New Guinea,,4.63,75.7,10.8,,1996
Paraguay,,3.91,91.9,10.5,,1996
Peru,,3.14,70.5,10.2,,1996
Philippines,,3.92,49.1,10.5,,1996
Poland,,1.56,20.4,8.16,,1996
Portugal,,1.45,19.9,7.08,,1996
Puerto Rico,,2.01,72.4,8.23,,1996
Qatar,,3.47,24.2,9.16,,1996
Reunion,,2.33,23.7,8.56,,1996
Romania,,1.32,40.8,7.87,,1996
Russia,,1.22,35.7,7.08,,1996
Rwanda,,5.94,53.5,11.8,,1996
Samoa,,4.64,45.4,10.2,,1996
San Marino,,,2.5,,,1996
Sao Tome and Principe,,5.44,94.6,12.6,,1996
Saudi Arabia,,4.53,37.3,11,,1996
Senegal,,5.77,112,11.1,,1996
Serbia,,1.84,28,7.39,,1996
Seychelles,,2.22,55,9.8,,1996
Sierra Leone,,6.51,151,10.4,,1996
Singapore,,1.61,8,6.39,,1996
Slovak Republic,,1.45,27.9,8.37,,1996
Slovenia,,1.24,9.12,7.08,,1996
Solomon Islands,,4.97,71.1,11.3,,1996
Somalia,,7.69,72.5,9.69,,1996
South Africa,,2.97,80.6,10.5,,1996
South Korea,,1.53,2.95,8.26,,1996
South Sudan,,6.44,,10.1,,1996
Spain,,1.2,7.45,7.18,,1996
Sri Lanka,,2.25,30.7,9.92,,1996
St. Helena,,,0,,,1996
St. Kitts and Nevis,,,60.2,,,1996
St. Lucia,,2.64,69.8,9.67,,1996
St. Vincent and the Grenadines,,2.58,76.1,10.8,,1996
Sudan,,5.68,87.1,10.7,,1996
Suriname,,2.97,50.9,8.84,,1996
Sweden,,1.53,8.93,5.42,,1996
Switzerland,,1.49,5.65,5.37,,1996
Syria,,4.32,51.9,12,,1996
Taiwan,,1.77,15,9.27,,1996
Tajikistan,,4.33,35.8,10.4,,1996
Tanzania,,5.78,133,10.8,,1996
Thailand,,1.78,45.8,9.08,,1996
Timor-Leste,,6.83,71.9,8.4,,1996
Togo,,5.59,93.9,11.3,,1996
Tokelau,,,0,,,1996
Tonga,,4.34,22.5,10.9,,1996
Trinidad and Tobago,,1.84,42.1,10.2,,1996
Tunisia,,2.38,8.43,10.5,,1996
Turkey,,2.66,52,10.1,,1996
Turkmenistan,,3.15,17.8,10.1,,1996
Turks and Caicos Islands,,,0,,,1996
Tuvalu,,,36.1,,,1996
Uganda,,6.97,191,10.6,,1996
Ukraine,,1.27,46.8,6.91,,1996
United Arab Emirates,,3.06,27.6,9.72,,1996
United Kingdom,,1.73,30.2,5.69,,1996
United States,,1.97,50.5,6.64,,1996
Uruguay,,2.33,67.3,7.81,,1996
Uzbekistan,,3.19,41.5,10.1,,1996
Vanuatu,,4.61,62,10.7,,1996
Venezuela,,2.97,94.1,10.1,,1996
Vietnam,,2.36,27.1,9.95,,1996
Virgin Islands (U.S.),,2.27,51.9,7.25,,1996
Wallis et Futuna,,,12.4,,,1996
Western Sahara,,3.45,,10.8,,1996
Yemen,,6.99,109,10.4,,1996
Zambia,,6.12,143,11.4,,1996
Zimbabwe,,4.24,106,12.3,,1996
Afghanistan,,7.62,202,10.3,,1997
Albania,,2.33,19.5,9.17,,1997
Algeria,,2.8,11.1,11.9,,1997
American Samoa,,,56.9,,,1997
Andorra,,,0,,,1997
Angola,,6.73,212,10.7,,1997
Anguilla,,,59.7,,,1997
Antigua and Barbuda,,2.3,66.3,8.32,,1997
Argentina,,2.62,64.9,8.8,,1997
Armenia,,1.5,41.1,8.63,,1997
Aruba,,1.94,38.4,6.24,,1997
Australia,,1.77,18.9,6.67,,1997
Austria,,1.37,14.4,5.54,,1997
Azerbaijan,,2.21,39.5,8.97,,1997
Bahamas,,2.26,58.3,8.96,,1997
Bahrain,,2.86,17.4,9.23,,1997
Bangladesh,,3.35,126,11.2,,1997
Barbados,,1.74,53.4,7.06,,1997
Belarus,,1.29,32.2,7.15,,1997
Belgium,,1.61,10.1,5.65,,1997
Belize,,3.81,103,11.2,,1997
Benin,,6.12,122,10.3,,1997
Bermuda,,,35.8,,,1997
Bhutan,,4,71.7,11.1,,1997
Bolivia,,4.27,86.4,10.2,,1997
Bosnia and Herzegovina,,1.62,25.3,7.11,,1997
Botswana,,3.61,70.9,11.7,,1997
Brazil,,2.43,89,10.1,,1997
British Virgin Islands,,,39,,,1997
Brunei,,2.49,28.3,9.24,,1997
Bulgaria,,1.2,44.5,6.65,,1997
Burkina Faso,,6.7,135,10.8,,1997
Burundi,,7.13,37.9,11,,1997
Cambodia,,4.15,51.8,10.5,,1997
Cameroon,,5.72,142,10.9,,1997
Canada,,1.56,19.1,6.55,,1997
Cape Verde,,4.07,104,10.6,,1997
Cayman Islands,,,0,,,1997
Central African Republic,,5.54,132,10.5,,1997
Chad,,7.41,193,10.3,,1997
Channel Islands,,1.41,13.4,5.27,,1997
Chile,,2.18,65.8,8.31,,1997
China,,1.5,9,7.6,,1997
Colombia,,2.48,92.5,9.77,,1997
Comoros,,5.29,65.9,10.9,,1997
"Congo, Dem. Rep.",,7.06,240,10.2,,1997
"Congo, Rep.",,5.11,130,11,,1997
Cook Is,,,0,,,1997
Costa Rica,,2.56,84.8,9.48,,1997
Cote d'Ivoire,,5.85,136,10.9,,1997
Croatia,,1.49,17.1,6.47,,1997
Cuba,,1.63,64.4,6.43,,1997
Curaçao,,,,6.52,,1997
Cyprus,,1.86,11.9,7.89,,1997
Czech Republic,,1.17,15.2,7.11,,1997
Denmark,,1.72,7.7,5.34,,1997
Djibouti,,4.78,30.6,10.7,,1997
Dominica,,,55.8,,,1997
Dominican Republic,,2.97,111,10.5,,1997
Ecuador,,3.16,85.2,10.1,,1997
Egypt,,3.37,57.5,10.6,,1997
El Salvador,,3.26,108,9.85,,1997
Equatorial Guinea,,5.91,133,10.4,,1997
Eritrea,,5.55,95.6,11.8,,1997
Estonia,,1.32,28.2,6.53,,1997
Eswatini,,4.39,108,12.2,,1997
Ethiopia,,6.77,109,10.6,,1997
Faeroe Islands,,,24.4,,,1997
Falkland Is (Malvinas),,,0,,,1997
Fiji,,3.17,44.9,10.8,,1997
Finland,,1.71,9.2,6.17,,1997
France,,1.77,7.02,6.2,,1997
French Guiana,,3.91,113,8.34,,1997
French Polynesia,,2.59,60.2,9.35,,1997
Gabon,,4.72,126,10.1,,1997
Gambia,,5.98,125,9.91,,1997
Georgia,,1.69,58.1,7.51,,1997
Germany,,1.34,13.2,5.2,,1997
Ghana,,4.97,88.1,10.6,,1997
Gibraltar,,,0,,,1997
Greece,,1.33,11.5,6.89,,1997
Greenland,,2.46,94.6,,,1997
Grenada,,2.76,59.4,9.84,,1997
Guadeloupe,,2.09,0,7.64,,1997
Guam,,2.86,73.5,8.06,,1997
Guatemala,,4.8,120,11.3,,1997
Guinea,,6.21,173,10.1,,1997
Guinea-Bissau,,6.01,144,10.9,,1997
Guyana,,3.05,75.6,10.1,,1997
Haiti,,4.55,59.9,11.2,,1997
Honduras,,4.29,112,11.1,,1997
"Hong Kong, China",,1.04,4.8,6.66,,1997
Hungary,,1.37,24.5,6.74,,1997
Iceland,,2.05,24.1,7.66,,1997
India,,3.45,113,10.2,,1997
Indonesia,,2.54,48.1,10.5,,1997
Iran,,2.53,45.4,12.9,,1997
Iraq,,5.11,59.9,11.1,,1997
Ireland,,1.93,19.4,9.13,,1997
Israel,,2.92,17.3,8.65,,1997
Italy,,1.23,5.96,5.36,,1997
Jamaica,,2.67,91.8,9.56,,1997
Japan,,1.35,4.6,5.97,,1997
Jordan,,4.23,38.7,11.3,,1997
Kazakhstan,,1.98,37.7,8.66,,1997
Kenya,,5.3,105,11.8,,1997
Kiribati,,4.17,0,9.92,,1997
Kuwait,,2.9,24.7,8.8,,1997
Kyrgyz Republic,,2.88,36.4,9.93,,1997
Lao,,4.72,54.8,10.5,,1997
Latvia,,1.18,20.8,6.41,,1997
Lebanon,,2.39,29.6,9.41,,1997
Lesotho,,4.3,93.1,12.1,,1997
Liberia,,6.01,151,10.8,,1997
Libya,,3.11,4.51,12,,1997
Liechtenstein,,,0,,,1997
Lithuania,,1.44,30.7,6.6,,1997
Luxembourg,,1.72,9.71,5.31,,1997
"Macao, China",,1.06,5.65,7.15,,1997
Madagascar,,5.75,154,10.5,,1997
Malawi,,6.26,161,10.2,,1997
Malaysia,,3.04,15,9.85,,1997
Maldives,,3.4,41.9,11.8,,1997
Mali,,6.95,191,10.8,,1997
Malta,,1.83,24.4,7.28,,1997
Marshall Islands,,,0,,,1997
Martinique,,1.89,0,6.8,,1997
Mauritania,,5.58,94.8,10.8,,1997
Mauritius,,2.04,36.3,8.93,,1997
Mayotte,,5.01,0,11.4,,1997
Mexico,,2.82,77.1,10.4,,1997
"Micronesia, Fed. Sts.",,4.47,42.7,11.9,,1997
Moldova,,1.62,54,8.59,,1997
Mongolia,,2.31,30.6,10.8,,1997
Montenegro,,1.91,22.9,7.64,,1997
Montserrat,,,13.5,,,1997
Morocco,,2.93,25.6,11,,1997
Mozambique,,5.85,129,10.4,,1997
Myanmar,,2.95,22.9,10.8,,1997
Namibia,,4.23,88.7,11,,1997
Nauru,,,85.9,,,1997
Nepal,,4.33,127,10.5,,1997
Netherlands,,1.63,6.35,5.65,,1997
Netherlands Antilles,,2.13,0,,,1997
New Caledonia,,2.55,16.9,8.41,,1997
New Zealand,,1.96,29.2,6.75,,1997
Nicaragua,,3.33,130,11.6,,1997
Niger,,7.7,219,10.3,,1997
Nigeria,,6.16,134,10.8,,1997
Niue,,,0,,,1997
North Korea,,2.01,1.29,7.42,,1997
North Macedonia,,1.81,32,8.19,,1997
Northern Mariana Islands,,,68.3,,,1997
Norway,,1.81,12.4,5.71,,1997
Oman,,4.3,38.2,12.4,,1997
Pakistan,,4.89,56.3,10.4,,1997
Palau,,,42.2,,,1997
Palestine,,5.73,91.5,10.5,,1997
Panama,,2.79,92.4,9.79,,1997
Papua New Guinea,,4.6,74.7,10.8,,1997
Paraguay,,3.8,90,10.7,,1997
Peru,,3.06,68.7,10.2,,1997
Philippines,,3.89,50,10.4,,1997
Poland,,1.48,19.3,8.26,,1997
Portugal,,1.46,19.7,6.88,,1997
Puerto Rico,,1.98,70.9,8.03,,1997
Qatar,,3.41,23.1,9.41,,1997
Reunion,,2.34,36.3,8.43,,1997
Romania,,1.31,40.2,7.57,,1997
Russia,,1.23,34.1,7.27,,1997
Rwanda,,5.84,51.8,11.9,,1997
Samoa,,4.59,43.7,10.1,,1997
San Marino,,,1.3,,,1997
Sao Tome and Principe,,5.38,91.7,12.5,,1997
Saudi Arabia,,4.33,34,10.9,,1997
Senegal,,5.67,112,11.2,,1997
Serbia,,1.82,27.5,7.19,,1997
Seychelles,,2.18,52,9.8,,1997
Sierra Leone,,6.46,149,10.4,,1997
Singapore,,1.48,7.8,6.4,,1997
Slovak Republic,,1.38,26,8.22,,1997
Slovenia,,1.22,8.33,6.98,,1997
Solomon Islands,,4.87,70.9,11.1,,1997
Somalia,,7.68,72.4,9.61,,1997
South Africa,,2.92,78.6,10.6,,1997
South Korea,,1.47,2.8,8.22,,1997
South Sudan,,6.38,,10,,1997
Spain,,1.2,7.47,6.84,,1997
Sri Lanka,,2.24,30,9.9,,1997
St. Helena,,,0,,,1997
St. Kitts and Nevis,,,63.8,,,1997
St. Lucia,,2.5,68.2,9.89,,1997
St. Vincent and the Grenadines,,2.51,73.8,10.7,,1997
Sudan,,5.61,84.4,10.7,,1997
Suriname,,2.94,49.6,9.06,,1997
Sweden,,1.52,8.76,5.41,,1997
Switzerland,,1.47,5.85,5.41,,1997
Syria,,4.23,50.6,11.9,,1997
Taiwan,,1.47,14,9.04,,1997
Tajikistan,,4.19,34.9,10.6,,1997
Tanzania,,5.74,133,10.8,,1997
Thailand,,1.74,45.3,8.79,,1997
Timor-Leste,,6.99,71.6,8.87,,1997
Togo,,5.52,90.9,11.3,,1997
Tokelau,,,0,,,1997
Tonga,,4.3,22.3,11.1,,1997
Trinidad and Tobago,,1.8,40.7,10.7,,1997
Tunisia,,2.29,8.05,10.6,,1997
Turkey,,2.61,50.2,10.1,,1997
Turkmenistan,,3.01,18.8,10.2,,1997
Turks and Caicos Islands,,,0,,,1997
Tuvalu,,,42,,,1997
Uganda,,6.94,187,10.7,,1997
Ukraine,,1.22,42.3,7,,1997
United Arab Emirates,,2.91,27.1,9.7,,1997
United Kingdom,,1.71,30.9,5.76,,1997
United States,,2,49,6.69,,1997
Uruguay,,2.29,66.5,7.6,,1997
Uzbekistan,,3.03,36,10.3,,1997
Vanuatu,,4.54,61.2,10.9,,1997
Venezuela,,2.92,93.7,10.1,,1997
Vietnam,,2.21,26.8,10,,1997
Virgin Islands (U.S.),,2.18,49,7.45,,1997
Wallis et Futuna,,,14,,,1997
Western Sahara,,3.33,,10.9,,1997
Yemen,,6.74,106,10.6,,1997
Zambia,,6.09,146,11.3,,1997
Zimbabwe,,4.16,100,12.3,,1997
Afghanistan,,7.57,192,10.3,,1998
Albania,,2.25,17.2,9.26,,1998
Algeria,,2.64,10.5,12,,1998
American Samoa,,,61,,,1998
Andorra,,,0,,,1998
Angola,,6.68,209,10.8,,1998
Anguilla,,,60.7,,,1998
Antigua and Barbuda,,2.32,63.6,8.26,,1998
Argentina,,2.59,64,8.65,,1998
Armenia,,1.4,35.6,8.87,,1998
Aruba,,1.91,42.4,6.4,,1998
Australia,,1.76,18.5,6.69,,1998
Austria,,1.34,13.3,5.62,,1998
Azerbaijan,,2.11,38,9.22,,1998
Bahamas,,2.17,54.7,9.11,,1998
Bahrain,,2.81,17,9.17,,1998
Bangladesh,,3.23,121,11.2,,1998
Barbados,,1.74,50.5,7.08,,1998
Belarus,,1.26,31.1,7.29,,1998
Belgium,,1.62,10.6,5.66,,1998
Belize,,3.7,100,11.1,,1998
Benin,,6.04,121,10.3,,1998
Bermuda,,,28.4,,,1998
Bhutan,,3.8,68.3,11.3,,1998
Bolivia,,4.16,85.9,10.1,,1998
Bosnia and Herzegovina,,1.56,23.5,7.14,,1998
Botswana,,3.49,68.5,11.8,,1998
Brazil,,2.37,88.2,10.1,,1998
British Virgin Islands,,,51.8,,,1998
Brunei,,2.36,27.7,8.91,,1998
Bulgaria,,1.18,48.6,6.51,,1998
Burkina Faso,,6.65,134,10.8,,1998
Burundi,,7.07,35.7,11.3,,1998
Cambodia,,3.97,50.2,12,,1998
Cameroon,,5.65,140,11,,1998
Canada,,1.54,18,6.57,,1998
Cape Verde,,3.91,101,11,,1998
Cayman Islands,,,0,,,1998
Central African Republic,,5.52,130,10.6,,1998
Chad,,7.38,192,10.3,,1998
Channel Islands,,1.4,13,5.23,,1998
Chile,,2.14,64.8,8.25,,1998
China,,1.49,7,7.69,,1998
Colombia,,2.43,93.3,9.69,,1998
Comoros,,5.31,65.3,11,,1998
"Congo, Dem. Rep.",,7.02,238,10.2,,1998
"Congo, Rep.",,5.11,130,10.9,,1998
Cook Is,,,0,,,1998
Costa Rica,,2.46,82.7,9.55,,1998
Cote d'Ivoire,,5.78,136,10.9,,1998
Croatia,,1.47,16.4,6.46,,1998
Cuba,,1.63,60.9,6.5,,1998
Curaçao,,,,6.82,,1998
Cyprus,,1.78,10.7,7.94,,1998
Czech Republic,,1.13,14.4,6.7,,1998
Denmark,,1.74,7.7,5.19,,1998
Djibouti,,4.62,30.2,10.6,,1998
Dominica,,,60.3,,,1998
Dominican Republic,,2.93,110,10.4,,1998
Ecuador,,3.09,85,10.1,,1998
Egypt,,3.29,56.3,10.7,,1998
El Salvador,,3.14,104,9.72,,1998
Equatorial Guinea,,5.88,132,10.5,,1998
Eritrea,,5.43,92.5,12.4,,1998
Estonia,,1.31,27.3,6.59,,1998
Eswatini,,4.28,107,12.5,,1998
Ethiopia,,6.66,106,10.7,,1998
Faeroe Islands,,,17.1,,,1998
Falkland Is (Malvinas),,,0,,,1998
Fiji,,3.13,44.1,10.8,,1998
Finland,,1.73,9.6,6.15,,1998
France,,1.79,7.42,6.27,,1998
French Guiana,,3.87,127,8.19,,1998
French Polynesia,,2.52,59,9.65,,1998
Gabon,,4.63,121,10.2,,1998
Gambia,,5.97,120,9.97,,1998
Georgia,,1.64,55.7,7.5,,1998
Germany,,1.35,13.1,5.28,,1998
Ghana,,4.9,86.1,10.6,,1998
Gibraltar,,,0,,,1998
Greece,,1.33,11.1,6.72,,1998
Greenland,,2.42,90.6,,,1998
Grenada,,2.67,57.3,10.5,,1998
Guadeloupe,,2.09,31.1,7.87,,1998
Guam,,2.85,68.7,8.08,,1998
Guatemala,,4.7,119,11.3,,1998
Guinea,,6.15,171,10.2,,1998
Guinea-Bissau,,5.91,141,11.1,,1998
Guyana,,3.04,77.3,9.75,,1998
Haiti,,4.43,58.1,11.5,,1998
Honduras,,4.17,110,11.1,,1998
"Hong Kong, China",,1.01,4.6,6.56,,1998
Hungary,,1.33,22.3,6.34,,1998
Iceland,,2.02,23.8,7.65,,1998
India,,3.38,109,10.2,,1998
Indonesia,,2.52,48.3,10.5,,1998
Iran,,2.36,42.5,13.3,,1998
Iraq,,5,62.8,11,,1998
Ireland,,1.94,20.1,9.01,,1998
Israel,,2.92,17,8.53,,1998
Italy,,1.24,6.91,5.21,,1998
Jamaica,,2.62,90.3,9.57,,1998
Japan,,1.34,4.9,5.85,,1998
Jordan,,4.13,36.8,11.4,,1998
Kazakhstan,,1.94,35.4,8.75,,1998
Kenya,,5.24,105,11.8,,1998
Kiribati,,4.11,0,10.2,,1998
Kuwait,,2.89,22.6,8.96,,1998
Kyrgyz Republic,,2.76,35.2,10.1,,1998
Lao,,4.51,54.1,10.6,,1998
Latvia,,1.17,19.8,6.61,,1998
Lebanon,,2.31,27.1,9.17,,1998
Lesotho,,4.2,92.3,12.2,,1998
Liberia,,5.95,150,10.8,,1998
Libya,,2.98,4.34,11.8,,1998
Liechtenstein,,,6.9,,,1998
Lithuania,,1.38,27.4,6.72,,1998
Luxembourg,,1.71,10.7,5.33,,1998
"Macao, China",,1,5.22,7.33,,1998
Madagascar,,5.65,153,10.4,,1998
Malawi,,6.2,160,10.2,,1998
Malaysia,,2.91,15.1,9.85,,1998
Maldives,,3.16,37.2,12.4,,1998
Mali,,6.92,190,10.8,,1998
Malta,,1.75,16.8,7.22,,1998
Marshall Islands,,,94,,,1998
Martinique,,1.89,28.1,6.22,,1998
Mauritania,,5.51,93.1,10.9,,1998
Mauritius,,2.01,36.4,8.7,,1998
Mayotte,,4.98,0,11.3,,1998
Mexico,,2.77,76.4,10.3,,1998
"Micronesia, Fed. Sts.",,4.39,40.6,12.2,,1998
Moldova,,1.53,49.8,8.81,,1998
Mongolia,,2.22,28.4,10.8,,1998
Montenegro,,1.89,22.4,7.71,,1998
Montserrat,,,27.3,,,1998
Morocco,,2.85,24.1,11.1,,1998
Mozambique,,5.83,141,10.4,,1998
Myanmar,,2.93,22,10.8,,1998
Namibia,,4.12,86.9,11,,1998
Nauru,,,94.6,,,1998
Nepal,,4.18,125,10.5,,1998
